Item ID,String.object_name,String.object_desc,String.object_classification
4570-0013-01,"Filter,PDLF2500L,0.5A,SMD","9-August-2023_CIS_Export : D4 - MOOG MILPITAS OPERATIONS, CA",CLS-1000453
4570-0015-01,"Filter,FMCE-0328,3A,TH","9-August-2023_CIS_Export : D4 - MOOG MILPITAS OPERATIONS, CA",CLS-1000453
4N49UTXV,"Optocouplers,JAN4N49UTXV,SMD,LCC","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000455
5962-0420401HPA,"Optocouplers,HCPL-5121,TH,HERMETIC CDIP-8","9-August-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000455
-73457-007,"OBSOLETE,Optocouplers,4N25,TH,DIP-6","9-August-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000455
911966-001,"Inductor,100uH,1.95A,10%,TH,Custom","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000453
911966-002,"Inductor,40uH,2.68A,10%,TH,Custom","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000453
911966-003,"Inductor,250uH,0.53A,10%,TH,Custom","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000453
911966-004,"Inductor,250uH,0.93A,-5%/+10%,TH","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000453
911966-006,"Inductor,100uH,0.78A,10%,TH,Custom","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453
