Item ID,String.object_name,String.object_desc,String.object_classification
C53556-001,"Inductor,10uH,250mA,10%,SMD","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000453
C53556-003,"Inductor,220uH,100mA,10%,SMD,1812","9-August-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000453
C53907-266,"Diodes,Voltage Suppressor,SMCJ60A,SMD,DO-214AB","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
C53907-268,"Diodes,Voltage Suppressor,SMCJ64A,SMD,DO-214AB","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
C53907-270,"Diodes,Voltage Suppressor,SMCJ70A-E3,SMD,DO-214AB","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449
C53907-276,"Diodes,Voltage Suppressor,MSMCJ85A,SMD,DO-214AB","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449
C53907-306,"Diodes,Voltage Suppressor,MSMCJ6.5CA,SMD,DO-214AB","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449
C53907-324,"Diodes,Voltage Suppressor,MSMCJ13CA,SMD,DO-214AB","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449
C53907-346,"Diodes,Voltage Suppressor,MSMCJ30CA,SMD,DO-214AB","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449
C53907-350,"Diodes,Voltage Suppressor,SMCJ36CA,SMD,DO-214AB","9-August-2023_CIS_Export : 80 - FCS, AMSTERDAM",CLS-1000449
