Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
C25495-001,"NO DWG,Transistors,BJT,MJD45H11G,80V,8A,20W@Tc=25C,SMD,D-pak","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000461,US,Commercial
C25496-001,"Transistors,BJT,MJD44H11G,80V,8A,20W@Tc=25C,SMD,DPAK","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000461,US,Commercial
C25497-001,"Transistors,MOSFET,2N7002,60V,0.115A,0.2W,SMD,SOT-23-3","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000461,US,Commercial
C25726-114,"Connectors,Male/Pin,0.300 IN,TH,4","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C25733-228,"Capacitors,220uF,25V,20%,Aluminium Electrolytic,SMD","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
C25735-001,"Diodes,Rectifier,ES1B,1A,SMD,DO-214AC(SMA)","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C25735-003,"Diodes,Rectifier,ES3B,3A,SMD,DO-214AB(SMC)","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C25742-101,"ICs,Analog Device,HCPL-7840,SMD,DIP-8 with GULL WINGS","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C25742-102,"ICs,Analog Device,HCPL-7800A,SMD,SOIC-8 with GULL WINGS","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C25744,"Diodes,Rectifier,STTH112U,1A,SMD,SMB","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C25778-002,"Diodes,LED,RED,HSMS-C170,0.02A,SMD,0805","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C25778-004,"Diodes,LED,YELLOW,HSMY-C170,20mA,SMD,0805","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C25778-005,"Diodes,LED,GREEN,HSMG-C170,20mA,SMD,0805","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C25801-476,"Capacitors,47uF,25V,10%,Tantalum Electrolytic,7343-31","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
C25820-103,"Resistors,10K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-153,"Resistors,15K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-303,"Resistors,30K,0.1%,25ppm,0.032W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-332,"Resistors,3.3K,0.1%,25ppm,0.032W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-527,"Resistors,1K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-535,"Resistors,1.21K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-585,"Resistors,4.02K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-652,"Resistors,20K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-669,"Resistors,30.1K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-681,"Resistors,40.2K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-690,"Resistors,49.9K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-697,"Resistors,59K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25820-702,"Resistors,66.5K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25879-001,"ICs,Comparator,LM2903D,SMD,SOIC-8","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C25881-001,"EM Relays,CB1-P-24V,SPDT,TH","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000450,US,Commercial
C25885-103-103-01,"Resistors,10K/10K,0.1%,25ppm,0.2W,SMD,SOT-23","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C25887-001,"Miscellaneous Devices,5015/5017,SMD","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000454,US,Commercial
C25890-113-201-011,"Choke,0.011mH,30%,SMD,Custom","6-October-2023_CIS_Export : ",CLS-1000453,US,Commercial
C25926-001,"Diodes,Schottky,STPS160H100TV,80A(Per diode),SMD,ISOTOP","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C25960-001,"ICs,Op Amp,TL072IDR,SMD,SOIC-8","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C25961-103,"Inductor,10uH,20%,SMD","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000453,US,Commercial
C25961-682,"Inductor,6.8uH,20%,SMD","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000453,US,Commercial
C25964-027,"Connectors,Plug,Male/Pin,0.0787 IN,TH,27","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C25964-227,"Connectors,Plug,Male/Pin,0.0787 IN,TH,27","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C25964-236,"Connectors,Plug,Male/Pin,0.079 IN,TH,36","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27025-227,"OBSOLETE,Capacitors,220uF,50V,20%,Aluminium Electrolytic,SMD","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
C27099-220,"Resistors,22,1%,100ppm,1W,SMD,2512","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C27099-272,"Resistors,2.7K,1%,100ppm,1W,SMD,2512","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C27099-392,"Resistors,3.9K,1%,100ppm,1W,SMD,2512","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000457,US,Commercial
C27193-001,"Connectors,Male/Pin,TH,18","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
C27193-004,"Connectors,Female/Socket,Dual DSub Connectors,TH,18","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
C27325-001,"OBSOLETE,Diodes,Schottky,VS-50SQ100,5A,SMD,DO-204AR","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C27336-210,"Connectors,Plug,Male/Pin,0.100 IN,TH,10","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-214,"Connectors,Plug,Male/Pin,0.100 IN,TH,14","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-220,"Connectors,Plug,Male/Pin,0.100 IN,TH,20","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-224,"Connectors,Plug,Male/Pin,0.100 IN,TH,24","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-226,"Connectors,Plug,Male/Pin,0.100 IN,TH,26","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-230,"Connectors,Plug,Male/Pin,0.100 IN,TH,30","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-236,"Connectors,Plug,Male/Pin,0.100 IN,TH,36","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-240,"Connectors,Plug,Male/Pin,0.100 IN,TH,40","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-310,"Connectors,Plug,Male/Pin,0.100 IN,TH,10,SEALED","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-314,"Connectors,Plug,Male/Pin,0.100 IN,TH,14,SEALED","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-320,"Connectors,Plug,Male/Pin,0.100 IN,TH,20,SEALED","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-324,"Connectors,Plug,Male/Pin,0.100 IN,TH,24,SEALED","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-326,"Connectors,Plug,Male/Pin,0.100 IN,TH,26,SEALED","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-330,"Connectors,Plug,Male/Pin,0.100 IN,TH,30","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-336,"Connectors,Plug,Male/Pin,0.100 IN,TH,36,SEALED","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-340,"Connectors,Plug,Male/Pin,0.100 IN,TH,40,SEALED","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-410,"Connectors,Plug,Male/Pin,0.100 IN,TH,10","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-414,"Connectors,Plug,Male/Pin,0.100 IN,TH,14","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-510,"Connectors,Plug,Male/Pin,0.100 IN,TH,10","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27336-514,"Connectors,Plug,Male/Pin,0.100 IN,TH,14","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27364-001,"OBSOLETE,ICs,Memory Device,XC18V01SO20C,SMD,SOIC-20","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C27366-005,"ICs,Programmable Logic Device,XC2S30-5VQ100I,SMD,VQFP-100","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C27366-105,"ICs,Programmable Logic Device,XC2S30-5VQG100I,SMD,VQFP-100","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C27367-001,"ICs,Reference and Regulator,TPS75125QPWP,SMD,HTSSOP-20","6-October-2023_CIS_Export : 98 - INTERNATIONAL IRELAND FINANCIAL SERVICES LTD.",CLS-1000452,US,Commercial
C27375-001,"OBSOLETE,Optocouplers,TLP206G,SMD,SOP-8","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000455,US,Commercial
C27380-001,"ICs,Reference and Regulator,TPS75133QPWP,SMD,HTSSOP-20","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C27382-001,"ICs,Reference and Regulator,MC78L05A,SMD,SOT89","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C27383-001,"ICs,Op Amp,OP400HS,SMD,SOIC-16W","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
C27386-001,"Diodes,BAV99,0.2A,SMD,SOT363-6","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C27388-001,"Diodes,Voltage Suppressor,P4SMA13CA,SMD,DO-214AC","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
C27393-001,"Filter,0.2uF,2A,-20%/+80%,SMD,1806","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000453,US,Commercial
C27622-001,"Transistors,MOSFET,IRF3415S,150V,43.0A@(Tc=25C,Vgs=10V),SMD,D2-PAK","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000461,US,Commercial
C27636-006-001,"Connectors,Plug,Male/Pin,0.079 IN,TH,6","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-006-002,"Connectors,Plug,Male/Pin,0.079 IN,TH,6","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-006-101,"Connectors,Plug,Male/Pin,0.079 IN,TH,6","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-006-102,"Connectors,Plug,Male/Pin,0.079 IN,TH,6","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-010-002,"Connectors,Plug,Male/Pin,0.079 IN,TH,10","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-012-001,"Connectors,Plug,Male/Pin,0.079 IN,TH,12","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-012-002,"Connectors,Plug,Male/Pin,0.079 IN,TH,12","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-012-102,"Connectors,Plug,Male/Pin,0.079 IN,TH,12","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-020-001,"Connectors,Plug,Male/Pin,0.079 IN,TH,20,M80540-RA","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-020-002,"Connectors,Plug,Male/Pin,0.079 IN,TH,20","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-020-101,"Connectors,Plug,Male/Pin,0.079 IN,TH,20,M80540-RA","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-020-102,"Connectors,Plug,Male/Pin,0.079 IN,TH,20","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-026-002,"Connectors,Plug,Male/Pin,0.079 IN,TH,26","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-026-102,"Connectors,Plug,Male/Pin,0.079 IN,TH,26","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-034-001,"Connectors,Plug,Male/Pin,0.079 IN,TH,34,M80540-RA","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-034-002,"Connectors,Plug,Male/Pin,0.079 IN,TH,34","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
C27636-034-101,"Connectors,Plug,Male/Pin,0.079 IN,TH,34,M80540-RA","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
